motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ
0.4109425 , -0.5642847 , 1.123786
0.5760416 , -1.432222 , 1.130248
0.6374914 , -1.219166 , 1.120531
0.2798263 , -0.5646793 , 0.2338563
0.03736781 , 0.2193398 , -1.221588
0.1579798 , 0.1942516 , -1.188541
-0.1150049 , -0.4576625 , 1.945408
0.860162 , -0.3791247 , 1.494054
0.6011943 , 0.09142952 , 2.11477
-2.23961 , 0.7433521 , -0.5049221
-0.2064829 , 0.828536 , 0.9606239
-0.3096975 , 1.642394 , 0.2316381
-0.26982 , 0.7309308 , -0.9696232
-0.2495751 , 0.3659998 , -1.197807
0.7177036 , -0.1744335 , -0.7348118
0.7168172 , -0.2756148 , -1.286754
1.21692 , 0.08462107 , -0.353568
-0.03381449 , -1.216286 , 0.2668922
0.1235538 , -1.049883 , -0.02715908
0.2155954 , 1.213108 , -0.3268659
-0.1510766 , 1.898204 , 0.1049348
-1.121515 , 1.081557 , 0.037443
-0.4217 , 1.860573 , -0.2069336
0.03586476 , 1.174977 , 0.04348843
0.03088363 , 0.7624174 , 0.3195576
0.2183971 , -0.1308375 , 0.7950076
0.3372236 , -1.163978 , 1.303252
0.6780613 , -2.099133 , 1.592219
0.3051382 , -0.507529 , 0.0681143
-0.1684108 , 0.405097 , -1.296298
-0.05224953 , 0.5205178 , -1.251177
0.343329 , -0.2682223 , 2.241923
-0.1923293 , -0.6280614 , 1.425087
0.1141991 , 0.4037893 , 2.174678
-1.285589 , 0.8224195 , -0.03199043
-0.6723944 , 0.3910143 , 1.139705
-0.7053781 , 1.42705 , 0.1639666
0.1601575 , 0.8435801 , -0.7938491
0.2706839 , 0.02142959 , -1.098476
0.488639 , -0.2146611 , -0.9325822
0.9435723 , 0.09972562 , -1.01936
0.7346616 , -0.4111816 , -0.9111177
0.5427753 , -0.3392964 , 0.1240265
0.5427753 , -0.3392964 , 0.1240265
0.4379762 , 0.5244254 , -0.1282277
-1.180238 , 1.71897 , -0.1624869
-1.57136 , 1.048381 , -0.01613291
-1.08365 , 1.563084 , 0.2500004
-0.3407713 , 1.132578 , 0.01140129
-0.1283385 , 0.749506 , 0.4518479
0.2172267 , -0.4004951 , 1.386979
0.6326383 , -1.317407 , 1.500005
0.8529624 , -1.107918 , 1.254828
0.4800656 , -0.5794961 , 0.23239
-0.03760125 , -0.2150264 , -1.030831
0.5767521 , 0.2156237 , -0.1498731
-0.9302467 , 0.5518469 , 0.3234675
-0.1836277 , -0.3927682 , 1.128878
0.2927487 , -0.3911029 , 1.978489
-1.79068 , 0.3872334 , 0.2378674
-0.4070153 , 0.7633203 , 0.86992
-0.4070153 , 0.7633203 , 0.86992
-0.535574 , 0.2695267 , -1.13158
-0.8521467 , -0.05911011 , -1.079632
0.8965433 , -0.3550229 , -1.510283
1.228522 , 0.2371893 , -1.335999
1.022899 , -0.2509735 , -0.5901623
0.6365744 , -0.7403945 , -0.3310033
0.4303862 , -0.05005259 , 0.1318964
-0.5160205 , 0.7223634 , -0.2623327
-1.4622 , 1.513673 , 0.1057712
-1.641917 , 1.740255 , 0.4853848
-0.7351514 , 2.400854 , -0.2574002
0.0496202 , 0.2646488 , 0.5135154
0.206921 , -0.06396199 , 0.8133628
0.3723651 , -0.6776326 , 1.206334
0.5133579 , -2.284405 , 1.729847
0.5669491 , -0.9107255 , 1.287736
0.3330179 , -0.7297328 , 0.1298603
0.36234 , 0.5421212 , -1.291391
0.9479172 , 0.3059621 , -0.9437312
-0.9732715 , 0.989724 , 1.275076
-0.07983908 , -0.7389852 , 1.529078
0.5694811 , -0.6567813 , 2.485522
-2.091007 , 0.9304035 , 0.1609118
0.3133934 , 2.518892 , -0.5539997
0.02500927 , 1.117547 , 0.2897751
-0.5453172 , 0.3383372 , -0.6727311
0.5439323 , 0.0910814 , -0.9756974
1.035694 , -0.4864922 , -0.8269876
1.292993 , 0.2167955 , -1.223772
0.4548193 , -0.6596951 , -0.3480456
0.4555552 , -0.6727319 , -0.3803404
0.6445914 , -0.1303696 , -0.03421836
-0.6263151 , 1.162207 , -0.1959743
-1.553659 , 0.6179839 , -0.07811734
-1.733561 , 0.8274627 , 0.04580381
-0.4589007 , 1.734468 , 0.0933187
-0.2437329 , 0.9208015 , 0.2047842
0.01495149 , 0.2427949 , 0.5235322
0.4931368 , -0.7316696 , 1.06621
0.7883462 , -1.744035 , 1.412244
0.8956655 , -1.142619 , 1.255264
0.4166906 , -0.3901569 , 0.1140779
-0.7411724 , 0.9787911 , -2.350331
0.2132158 , -0.3951955 , -0.08676624
-1.132273 , -0.594964 , 2.070585
1.000778 , 0.4247248 , 1.984166
0.437338 , 0.4627302 , 1.544052
-0.6718065 , 0.7824947 , 0.498015
-0.09700929 , 0.9488009 , 0.5522782
-0.4591525 , 1.463063 , 0.03434411
-0.2597881 , 0.8955688 , -0.6744105
-0.1466796 , -0.2395704 , -1.232643
0.7246905 , -0.5799989 , -0.9394811
1.16105 , 0.008674393 , -1.114685
0.9011636 , -0.4279954 , -0.6384578
0.4856089 , -0.8110151 , -0.3055276
0.629924 , -0.4900392 , -0.08302745
0.2591487 , 0.4639376 , -0.2321432
-1.051184 , 2.110747 , -0.05292004
-1.647682 , 1.194885 , -0.09071391
-1.333934 , 1.232311 , 0.09855106
-0.5380312 , 1.349376 , -0.01759782
-0.2726038 , 0.5597866 , 0.420749
0.383214 , -0.2027792 , 0.7546754
0.7620684 , -1.396015 , 1.091668
0.908344 , -1.413743 , 1.427484
0.5103979 , -0.7598206 , 0.3679639
-0.1781999 , -0.448002 , -0.216882
0.6051903 , -0.2879428 , 0.08638355
0.6577247 , -1.593377 , 3.476351
-2.486808 , -0.562236 , -0.6397346
0.7814026 , 0.2914073 , 1.450097
-0.4989034 , 0.01591221 , 0.6588437
-0.9711159 , 0.1867822 , 0.5017499
-0.371678 , 1.331848 , 0.5106735
-0.2625625 , 2.234134 , -0.5448886
-0.4776163 , 0.6151466 , -1.294281
0.4084268 , -0.01134063 , -1.027843
0.9168355 , -0.1601373 , -1.454041
1.219406 , 0.2611343 , -1.092914
0.0821685 , -0.9473192 , -0.2902303
0.0296633 , -0.8294371 , -0.3746822
0.2847976 , -0.3090437 , 0.1560282
-0.3052889 , 1.524082 , 0.1537571
-1.30519 , 0.8138705 , -0.05338118
-1.323053 , 1.55479 , 0.1848522
0.1324099 , 1.436977 , -0.2151464
-0.03682125 , 0.5329179 , 0.6047317
0.1037204 , -0.2216653 , 0.9303168
0.567577 , -0.904103 , 1.100624
0.9551044 , -0.9514492 , 0.9445955
0.8064393 , -0.685241 , 0.7615855
-0.9968906 , 1.129306 , -2.744333
0.5287851 , -0.3711916 , 0.2272677
-0.3404788 , -0.1242243 , 2.353232
0.702404 , -0.6303244 , 1.382101
0.7163948 , 0.2046032 , 2.382602
-1.679183 , 1.11621 , -0.158085
-0.07142812 , 0.3737249 , 0.6235874
-0.1278454 , 1.10934 , 0.7515954
0.08115984 , 1.709933 , -0.8685586
-0.6419466 , 0.07963659 , -1.328251
0.3911177 , -0.598182 , -0.8429732
0.7627291 , -0.4353779 , -1.076671
0.7881002 , -0.4932585 , -0.5542595
0.1122971 , -0.8658961 , -0.1897343
0.1361413 , -0.8213308 , -0.3318235
0.4101523 , 0.9238738 , -0.01280087
-0.826564 , 1.084375 , -0.1535888
-1.042943 , 1.094588 , 0.02463625
-1.586102 , 1.642174 , 0.2744138
-0.2302136 , 1.187668 , 0.3317338
-0.1364144 , 0.9747373 , 0.2934999
0.5284891 , -0.5782745 , 0.916047
0.833824 , -1.180004 , 0.9999758
0.9470726 , -1.879835 , 1.185288
0.2947447 , -0.5752495 , -0.07419349
-1.043018 , 0.8707093 , -2.059604
0.2140824 , -0.3578784 , -0.2934911
0.7058658 , -1.148204 , 2.462689
-0.5646988 , 1.631103 , 2.395404
1.356093 , -0.8614897 , 1.966629
0.1151147 , 0.2627442 , 1.043925
-0.0533735 , 1.312642 , 0.4596015
0.009872677 , 0.8340998 , -0.07817983
-0.7748599 , 1.157601 , -0.5900689
-0.6790058 , 0.1123998 , -1.268725
-0.08103333 , -0.3604469 , -1.115309
1.366878 , 0.1714206 , -1.201219
1.199238 , -0.1337512 , 0.1275301
0.3338051 , -0.7299061 , -0.2345077
0.4742313 , -0.6579182 , 0.01676023
0.7427326 , 0.324094 , 0.4266214
-0.3018601 , 1.608477 , 0.4021105
-1.158487 , 1.101233 , 0.09636154
0.09149916 , 1.977064 , 0.02839263
-0.009539791 , 1.901881 , 0.0403391
-0.2017834 , 0.1780987 , 0.9046996
0.2499016 , -0.5170072 , 0.8293415
0.6995074 , -1.205251 , 0.8936708
0.9193361 , -1.336253 , 0.8269804
0.7287913 , -0.4813657 , 0.1904964
-0.350702 , 0.8441497 , -2.124525
0.2324727 , 0.2531165 , -0.8261529
-1.023359 , 1.580382 , 1.031749
-0.3683138 , 2.394125 , 0.5847078
-0.4000304 , 3.022713 , -0.2657599
0.1443285 , 1.834786 , -0.0002958474
-0.6663877 , 0.7611659 , 0.6893055
-1.063208 , 1.115473 , -1.082887
-0.4771777 , 0.6395209 , -1.295488
0.6433831 , -0.3862276 , -0.9188477
0.9148854 , -0.01338092 , -1.316001
1.639447 , 0.1045814 , -0.5959405
0.6983304 , -0.7045345 , -0.3398313
0.4305218 , -0.7444912 , -0.1978776
0.5365033 , -0.2715811 , 0.011495
-1.667211 , 2.911947 , -0.04033733
-1.02801 , 0.8108324 , 0.2941432
-1.103784 , 1.041151 , -0.04568956
0.2537354 , 1.212184 , 0.1819908
-0.2168388 , 0.3122483 , 0.5904572
0.276051 , -0.3950195 , 0.9667949
0.5362833 , -1.411709 , 1.045102
0.6795792 , -1.370643 , 1.113051
0.4637305 , -0.6156338 , 0.1217225
-0.1321172 , 0.4120681 , -1.879082
1.030252 , -0.250655 , 0.689613
0.4243966 , -0.929744 , 2.36587
-0.4798631 , 0.3704176 , 1.173302
0.8096198 , -0.2699311 , 2.383785
-0.6849059 , 0.432404 , 0.5538036
-0.004251525 , 1.280154 , 0.5325392
0.08859861 , 1.480535 , -0.06620292
-0.4747819 , 0.8647013 , -0.6214004
-0.242987 , 0.3198881 , -1.116536
0.4000789 , 0.001613678 , -0.9807332
1.053143 , -0.4604646 , -0.9211718
1.334344 , 0.2063956 , -0.8970522
0.1581917 , -0.9035123 , -0.1263904
