AccX,AccY,AccZ
-0.5746084 , 4.865018 , 8.580819
-0.61291564 , 4.865018 , 8.542512
-0.5363012 , 4.865018 , 8.42759
-0.49799395 , 4.7500963 , 8.963891
-0.45968673 , 4.5202527 , 9.040505
-0.19153613 , 4.4436383 , 8.580819
-0.30645782 , 4.5202527 , 8.197746
-0.49799395 , 4.673482 , 8.6574335
-0.4213795 , 4.7500963 , 8.772355
-0.5363012 , 4.7500963 , 8.695741
-0.5363012 , 4.7884035 , 8.772355
-0.2681506 , 4.673482 , 8.504205
-0.19153613 , 4.673482 , 8.236053
-0.30645782 , 4.7500963 , 8.350976
-0.34476504 , 4.673482 , 8.810662
-0.22984336 , 4.7500963 , 8.963891
0.15322891 , 4.673482 , 8.6574335
0.2681506 , 4.4819455 , 8.42759
-0.30645782 , 4.673482 , 8.350976
-0.30645782 , 5.0182467 , 8.542512
-0.15322891 , 4.903325 , 8.848969
-0.19153613 , 4.8267107 , 9.002198
0.038307227 , 4.5202527 , 8.312668
-0.11492168 , 4.5202527 , 8.389283
-0.076614454 , 4.55856 , 8.542512
-0.076614454 , 4.673482 , 8.810662
-0.038307227 , 4.55856 , 8.580819
-0.22984336 , 4.8267107 , 8.695741
-0.2681506 , 4.8267107 , 8.619126
-0.30645782 , 4.7884035 , 8.6574335
-0.22984336 , 4.7500963 , 8.810662
-0.19153613 , 4.4819455 , 8.887277
-0.15322891 , 4.4436383 , 8.734048
-0.22984336 , 4.8267107 , 8.465898
0.038307227 , 4.55856 , 8.274361
0.038307227 , 4.7500963 , 8.236053
0.0 , 4.8267107 , 8.42759
-0.038307227 , 4.4819455 , 8.925584
0.076614454 , 4.6351743 , 8.695741
0.11492168 , 4.5202527 , 8.542512
0.038307227 , 4.3287168 , 8.810662
0.19153613 , 4.405331 , 8.6574335
0.15322891 , 4.367024 , 8.6574335
0.038307227 , 4.213795 , 8.848969
0.22984336 , 4.367024 , 8.963891
0.22984336 , 4.596867 , 8.542512
0.0 , 4.673482 , 8.465898
-0.30645782 , 4.7884035 , 8.465898
-0.19153613 , 4.4819455 , 8.465898
-0.11492168 , 4.213795 , 8.465898
-0.19153613 , 4.405331 , 8.580819
-0.11492168 , 4.098873 , 8.465898
0.076614454 , 4.098873 , 8.772355
0.0 , 4.2904096 , 9.002198
-0.11492168 , 4.4436383 , 9.040505
-0.30645782 , 4.711789 , 8.734048
-0.2681506 , 4.7500963 , 8.580819
-0.22984336 , 4.2904096 , 8.6574335
-0.15322891 , 4.213795 , 8.848969
-0.2681506 , 4.213795 , 8.925584
-0.22984336 , 4.213795 , 9.002198
-0.038307227 , 4.213795 , 9.193734
0.11492168 , 4.0222588 , 9.002198
0.11492168 , 4.175488 , 8.465898
0.038307227 , 4.060566 , 8.695741
-0.076614454 , 4.2904096 , 8.925584
0.0 , 4.405331 , 8.963891
-0.038307227 , 4.4436383 , 8.619126
-0.22984336 , 4.5202527 , 8.734048
-0.30645782 , 4.4819455 , 8.925584
-0.076614454 , 4.3287168 , 8.887277
-0.11492168 , 4.4436383 , 8.925584
-0.2681506 , 4.673482 , 8.772355
-0.34476504 , 4.7884035 , 8.236053
-0.5363012 , 4.3287168 , 8.619126
-0.4213795 , 4.1371803 , 9.232041
-0.2681506 , 3.86903 , 9.270349
-0.11492168 , 3.9073372 , 8.963891
-0.19153613 , 4.060566 , 8.810662
-0.2681506 , 4.2521024 , 8.542512
-0.2681506 , 4.2904096 , 8.389283
-0.076614454 , 4.098873 , 8.734048
0.19153613 , 4.0222588 , 8.504205
0.34476504 , 4.175488 , 7.929596
0.6512229 , 4.098873 , 7.776367
0.80445176 , 4.5202527 , 8.887277
0.8810662 , 4.4819455 , 9.040505
0.61291564 , 3.9839516 , 8.465898
0.0 , 4.3287168 , 7.6614456
-0.076614454 , 3.7541082 , 7.0485296
-0.076614454 , 3.7924154 , 8.619126
-0.11492168 , 3.8307228 , 9.576807
-0.11492168 , 3.9456444 , 9.80665
-2.1068976 , 4.9416323 , 9.346964
-2.528277 , 5.554548 , 8.465898
-2.4899697 , 5.0182467 , 7.929596
-2.9113493 , 3.4859576 , 7.8146744
-2.719813 , 4.213795 , 7.8912888
-2.9496565 , 4.4436383 , 8.580819
-3.2944214 , 4.711789 , 9.078813
-3.2944214 , 4.9416323 , 8.580819
-3.5625722 , 4.6351743 , 7.699753
-3.7541082 , 4.4436383 , 7.699753
-4.1371803 , 4.4436383 , 8.274361
-4.1371803 , 4.405331 , 8.542512
-3.5242648 , 4.4819455 , 6.933608
-3.5625722 , 3.6391866 , 8.465898
-3.7541082 , 4.9799395 , 8.580819
-3.4476504 , 4.9416323 , 9.040505
-3.217807 , 5.171476 , 9.078813
-3.4476504 , 5.401319 , 8.42759
-3.5625722 , 4.903325 , 7.776367
-3.0262709 , 4.9416323 , 7.2783732
-2.681506 , 5.209783 , 7.1251445
-2.719813 , 5.592855 , 8.159439
-2.7964275 , 5.746084 , 8.580819
-2.566584 , 5.0182467 , 8.580819
-2.336741 , 3.9456444 , 7.73806
-2.1068976 , 5.2480903 , 8.848969
-1.4556746 , 4.9416323 , 8.810662
-1.1492168 , 4.213795 , 8.504205
