MagZ,MagY,MagX,OrientZ,OrientX,OrientY,AccY,AccX,AccZ,GyroZ,GyroX,GyroY
-35.124,-20.8919998,-1.067999988,-0.3007985275,179.7769525,0.7271292325,-0.11492168,-0.0478840338,9.81622675,0.0011538566,0.0059050307,0.0047511741
-36.1079996,-20.4239996,-1.23599996,-0.288302105,178.81363,0.7149802833,-0.1053448735,-0.0478840338,9.83538025,0.0023323947,0.0130503029,0.0091629786
-36.3479996,-20.676,-1.47599998,-0.289677158,178.163552,0.696357586,-0.1053448735,-0.0574608405,9.83538025,0.0023148578,0.0096452407,0.0100310502
-36.384,-20.46,-1.94399996,-0.293158008,177.626108,0.68222394,-0.11492168,-0.0574608405,9.8258035,0.0018647466,0.0110598761,0.0102239554
-36.4199996,-20.4959998,-1.61999998,-0.31802922,177.064924,0.681297556,-0.0861912605,-0.0478840338,9.844957,0.0042760568,0.0103847092,0.0107734419
-36.6479996,-20.7599996,-1.84799996,-0.31849768,176.7985,0.668285566,-0.076614454,-0.038307227,9.8258035,0.0011538566,0.0135069093,0.012896044
-36.66,-20.72999975,-2.69999995,-0.321688158,176.423052,0.659768578,-0.11492168,-0.0574608405,9.844957,0.0032375858,0.0103847093,0.0088575461
-36.4199996,-20.544,-2.41199998,-0.3256845833,175.967113333,0.6550893767,-0.1021526047,-0.038307227,9.844957,0.002165795,0.0119396388,0.0111066409
-36.48,-20.0759998,-1.94399992,-0.331539738,175.703792,0.649586048,-0.1021526047,-0.038307227,9.844957,-0.0008756005,0.0011423716,-0.0028485067
-36.8699995,-20.355,-1.875,-0.329729032,175.555702,0.64800789,-0.1021526047,-0.0638453783,9.844957,0.0018893686,0.000756562,-0.0020125859
-36.76499925,-20.09999975,-2.324999975,-0.332309322,175.408924,0.64535392,-0.1021526047,-0.0510763027,9.844957,0.0018250668,0.0006922605,-0.0019482843
-36.81,-20.42999975,-2.36999995,-0.3350642433,175.186866667,0.638509305,-0.0893835293,-0.0510763027,9.844957,0.0011627604,0.0009076708,-0.0018325413
-37.094999,-20.71499975,-2.384999975,-0.3418863,175.017198,0.630401646,-0.1021526047,-0.0510763027,9.844957,0.0016514526,0.0006022383,-0.0009773302
-37.064999,-20.655,-2.579999975,-0.342172556,174.85705,0.62833452,-0.095768067,-0.076614454,9.844957,0.0009248444,-1.505718E-005,-0.0005979506
-36.9239996,-20.5319998,-2.60399996,-0.358386965,174.709645,0.6223614583,-0.1053448735,-0.0478840338,9.844957,0.0003519756,0.0008354778,0.0011440383
-36.5999996,-20.0999998,-2.47199998,-0.371981568,174.565624,0.615826348,-0.095768067,-0.038307227,9.844957,0.0016107282,0.0003462565,-0.0013205782
-36.4199996,-19.7639998,-2.30399992,-0.36176687,174.440392,0.61720644,-0.11492168,-0.038307227,9.8577263333,0.0026609878,-0.0009795812,-0.0028485067
-36.68999925,-19.7549995,-2.744999975,-0.35217269,174.319528,0.625580054,-0.11492168,-0.0638453783,9.832188,0.0004297221,-0.0031851263,-0.0045814351
-36.7559994,-20.2679996,-2.62799996,-0.347608582,174.20032,0.629168816,-0.0919373444,-0.0536301178,9.844957,0.0007383696,0.0026598818,0.0018776488
-37.1519996,-20.3159998,-2.52,-0.3517171917,174.12161,0.62250128,-0.076614454,-0.0574608405,9.844957,-0.0005587692,0.0052003788,0.0008663585
-37.245,-20.1599995,-2.804999975,-0.349590376,174.024754,0.59773006,-0.1276907567,-0.038307227,9.8577263333,-0.0001875736,0.0059778436,0.0025206634
-37.515,-19.91999975,-2.774999975,-0.355941626,173.92215,0.591440464,-0.067037647,-0.0478840338,9.844957,0.0021272842,0.0035343827,0.0007845201
-37.7279992,-20.0039996,-2.9759999,-0.346079046,173.808212,0.582442856,-0.1436521025,-0.0287304203,9.8258035,0.0003686353,0.0041452478,0.0009163384
-37.5239996,-19.9439996,-2.7839999,-0.346576318,173.714132,0.580858132,-0.076614454,-0.0191536135,9.844957,-0.0011520977,0.003791589,0.0022634569
-37.4159996,-19.9199996,-2.84399994,-0.35547717,173.646154,0.587482194,-0.11492168,-0.0478840338,9.83538025,-0.0005733832,0.0039201922,0.0031636794
-37.5599992,-20.1119998,-2.9999999,-0.370600544,173.565442,0.59350564,-0.0893835293,-0.0510763027,9.844957,0.0007126489,0.0037272875,0.004514013
-36.876,-19.9799996,-2.83199996,-0.3834436917,173.475263333,0.603133365,-0.1436521025,-0.0574608405,9.83538025,0.0009795006,0.0043285074,0.0024435015
-36.803999,-19.7879996,-3.05999996,-0.392740422,173.384614,0.61128573,-0.0919373444,-0.0536301178,9.8372956,0.0027059987,0.0037272876,0.0012346312
-36.8999986,-20.5199998,-2.73599992,-0.397172048,173.29929,0.61792636,-0.0919373444,-0.0536301178,9.8296342,-0.0013289272,0.0005122068,0.0009452717
-36.255,-20.83499975,-1.605,-0.398435292,173.292914,0.620719002,-0.130244572,-0.0459686724,9.8372956,0.0003686351,0.0010298345,3.7302E-008
-35.808,-20.2199996,-1.60799998,-0.400213636,173.33168,0.621284662,-0.0893835293,-0.0510763027,9.844957,-0.0022677307,0.0019782833,0.0004308581
-35.6399996,-20.3639998,-1.24799996,-0.412849585,173.386541667,0.6203042433,-0.1149216813,-0.0510763027,9.819419,-0.0037852484,0.0012130941,0.0008552486
-35.112,-20.772,-0.456,-0.410374954,173.493532,0.624013352,-0.1072602348,-0.0536301178,9.8372956,-0.0021969988,-0.0008638476,0.0009774217
-34.992,-20.3039996,0.167999996,-0.410182462,173.644404,0.636365138,-0.0919373444,-0.038307227,9.844957,0.0003686352,0.0004350446,-0.0027199205
-35.892,-20.0999996,-0.851999974,-0.3999957367,173.793793333,0.6403345683,-0.11492168,-0.0574608405,9.8258035,-0.0026246045,0.0002967962,-0.0020769044
-36.6839994,-20.3759998,-1.71599998,-0.393326135,173.862501667,0.6420138917,-0.1053448735,-0.0478840338,9.83538025,-0.0032410231,0.0003912028,-0.0007441075
-36.3959992,-20.22,-1.848,-0.401066326,173.86895,0.64448166,-0.0919373448,-0.0459686724,9.8602804,-1.71744742105E-005,0.0019139816,0.0012024778
-36.2999996,-20.0039998,-1.84799998,-0.401472654,173.87389,0.644852268,-0.1302445714,-0.0612915632,9.844957,-0.0023320323,0.0013995688,-0.0016910946
-36.612,-19.908,-2.29199992,-0.397436596,173.866,0.64511666,-0.0842759002,-0.038307227,9.8372956,0.0014926276,-0.0002041154,0.0026023273
-37.0559992,-20.388,-2.6879999,-0.402139848,173.825916,0.649380328,-0.0919373442,-0.038307227,9.8526186,0.0014681931,-0.0006698108,0.006166188
-37.1159996,-20.0999994,-2.76,-0.421331386,173.783342,0.651483172,-0.134075295,-0.038307227,9.844957,-0.0001128699,0.0005519196,0.0063817874
-36.8399992,-20.0279998,-2.79599998,-0.43448548,173.734101667,0.6525463783,-0.084275899,-0.038307227,9.844957,-0.0006420687,0.0005911196,0.0045426584
-36.9959992,-20.0159996,-2.97599992,-0.434953512,173.675584,0.65552805,-0.11492168,-0.038307227,9.844957,0.0006129818,-0.0011081964,0.0029321955
-37.4039996,-19.7519996,-2.83199994,-0.43416886,173.612042,0.655724408,-0.1149216813,-0.038307227,9.844957,0.0039759556,0.0014445773,0.0033180052
