AccX,AccY,AccZ
-0.6895301 , 1.2641385 , 9.193734
-0.7661445 , 0.80445176 , 10.457873
0.34476504 , 1.0342951 , 11.300632
1.0342951 , 0.9959879 , 11.300632
0.6512229 , 0.80445176 , 10.151415
-0.4213795 , 0.842759 , 9.078813
-0.2681506 , 0.9959879 , 9.040505
-0.22984336 , 1.0726024 , 9.80665
0.7661445 , 1.1109096 , 10.228029
0.91937345 , 1.1875241 , 10.228029
0.9959879 , 1.1109096 , 9.500193
0.7661445 , 1.3024458 , 8.619126
0.34476504 , 1.9536686 , 9.691729
0.5363012 , 1.6089035 , 9.959879
0.6895301 , 1.3790601 , 9.653421
0.61291564 , 1.4939818 , 9.730036
0.5363012 , 2.1068976 , 9.500193
-0.076614454 , 1.9536686 , 8.619126
-0.2681506 , 1.8387469 , 9.500193
0.30645782 , 1.3024458 , 9.883265
0.076614454 , 1.5705963 , 9.730036
-0.076614454 , 1.7621324 , 9.921572
-0.15322891 , 1.8770541 , 9.615114
-0.076614454 , 1.8004397 , 9.270349
0.076614454 , 1.9919758 , 9.959879
0.30645782 , 1.9153614 , 10.457873
0.22984336 , 1.8004397 , 10.0748005
0.19153613 , 1.8387469 , 9.193734
0.30645782 , 2.1068976 , 9.768343
0.4213795 , 2.030283 , 10.113108
0.38307226 , 1.8387469 , 9.883265
0.30645782 , 1.685518 , 9.500193
0.38307226 , 1.7621324 , 9.500193
0.34476504 , 2.1068976 , 9.615114
0.5363012 , 2.1452048 , 9.883265
0.11492168 , 1.685518 , 9.5385
-0.038307227 , 1.6472107 , 9.576807
0.11492168 , 1.7238252 , 9.959879
0.19153613 , 1.8770541 , 10.113108
0.15322891 , 1.7621324 , 9.385271
0.19153613 , 1.7621324 , 9.193734
0.15322891 , 1.9536686 , 9.385271
0.22984336 , 1.8004397 , 9.921572
0.19153613 , 1.8004397 , 9.5385
0.34476504 , 1.9153614 , 9.270349
0.34476504 , 2.1068976 , 9.461885
0.30645782 , 2.1452048 , 9.844957
0.34476504 , 1.9919758 , 9.844957
0.38307226 , 2.0685902 , 9.921572
0.30645782 , 1.9919758 , 9.653421
0.22984336 , 1.9919758 , 9.193734
0.22984336 , 2.2218192 , 9.5385
0.19153613 , 2.2601264 , 9.730036
0.19153613 , 2.1452048 , 9.615114
0.19153613 , 2.0685902 , 9.576807
0.2681506 , 2.0685902 , 9.80665
0.2681506 , 2.0685902 , 10.0748005
0.11492168 , 1.9536686 , 9.461885
0.076614454 , 1.9919758 , 9.308656
0.15322891 , 2.0685902 , 9.270349
0.15322891 , 2.2218192 , 9.576807
0.15322891 , 1.9919758 , 9.883265
0.0 , 1.9536686 , 9.615114
0.038307227 , 1.9536686 , 9.461885
0.11492168 , 2.0685902 , 9.500193
0.15322891 , 2.183512 , 9.461885
0.15322891 , 2.1068976 , 9.615114
0.11492168 , 1.9919758 , 9.5385
0.076614454 , 2.2601264 , 9.5385
0.11492168 , 2.1452048 , 9.615114
0.076614454 , 2.0685902 , 9.461885
0.076614454 , 2.1452048 , 9.385271
0.076614454 , 2.0685902 , 9.653421
-0.038307227 , 1.9919758 , 9.423578
0.038307227 , 2.0685902 , 9.5385
0.11492168 , 2.183512 , 9.768343
0.0 , 2.1452048 , 9.232041
0.038307227 , 2.2218192 , 9.232041
0.19153613 , 2.2984335 , 9.615114
0.15322891 , 2.2218192 , 9.615114
0.0 , 2.183512 , 9.193734
0.11492168 , 2.2984335 , 9.461885
0.19153613 , 2.2218192 , 9.691729
0.11492168 , 2.0685902 , 9.5385
0.19153613 , 2.1068976 , 9.500193
0.15322891 , 2.1452048 , 9.346964
0.11492168 , 2.1452048 , 9.346964
0.22984336 , 2.1068976 , 9.500193
0.38307226 , 2.2984335 , 9.883265
0.49799395 , 2.2601264 , 9.959879
0.2681506 , 2.183512 , 9.730036
0.11492168 , 2.1068976 , 9.11712
0.34476504 , 2.336741 , 9.346964
0.5363012 , 2.336741 , 9.576807
0.4213795 , 2.4516625 , 9.921572
0.30645782 , 2.1068976 , 9.959879
0.38307226 , 2.2601264 , 9.959879
0.49799395 , 2.3750482 , 9.998186
0.49799395 , 2.6431987 , 9.844957
0.45968673 , 2.6048915 , 9.730036
0.4213795 , 2.4133554 , 9.576807
0.34476504 , 2.183512 , 9.615114
0.30645782 , 2.1068976 , 9.385271
0.34476504 , 2.1068976 , 9.155427
0.45968673 , 2.3750482 , 9.423578
0.45968673 , 2.6431987 , 9.232041
0.49799395 , 2.3750482 , 9.078813
0.61291564 , 2.1452048 , 9.040505
0.5363012 , 2.3750482 , 9.5385
0.4213795 , 2.6048915 , 9.730036
0.80445176 , 2.183512 , 10.840945
0.9576807 , 2.2601264 , 10.534488
0.9959879 , 2.2601264 , 10.036493
0.91937345 , 2.719813 , 9.040505
0.8810662 , 3.2561142 , 8.887277
0.8810662 , 3.3327289 , 9.500193
1.1492168 , 3.0262709 , 10.151415
0.6895301 , 2.528277 , 8.925584
0.4213795 , 2.183512 , 8.42759
0.22984336 , 2.030283 , 8.695741
0.45968673 , 2.183512 , 9.423578
0.6895301 , 1.685518 , 8.925584
0.7278373 , 1.2258313 , 8.963891
0.842759 , 1.3790601 , 9.500193
0.6895301 , 1.4556746 , 10.0748005
0.842759 , 1.2641385 , 9.883265
1.1492168 , 1.5705963 , 10.304645
1.3790601 , 1.9919758 , 10.457873
1.1109096 , 1.2258313 , 10.649409
1.3024458 , 1.340753 , 9.998186
0.8810662 , 1.3790601 , 9.308656
0.61291564 , 1.8004397 , 8.887277
1.0342951 , 1.1492168 , 8.963891
1.3024458 , 0.7661445 , 10.189722
2.030283 , 0.9576807 , 11.109096
2.0685902 , 1.1109096 , 10.534488
0.11492168 , 2.6048915 , 8.42759
0.7661445 , 2.681506 , 8.465898
1.340753 , 2.4899697 , 8.121132
1.0726024 , 2.336741 , 8.350976
0.7661445 , 2.336741 , 9.768343
-0.49799395 , 3.3327289 , 10.189722
0.9959879 , 3.5242648 , 9.80665
2.7964275 , 2.719813 , 9.232041
2.4516625 , 3.371036 , 10.534488
2.0685902 , 3.5625722 , 9.500193
2.719813 , 2.6431987 , 10.189722
3.4093432 , 0.6512229 , 9.80665
2.9879637 , 0.6895301 , 9.80665
3.6774938 , 0.11492168 , 10.266336
4.060566 , 0.4213795 , 10.266336
3.2944214 , 1.8387469 , 9.308656
3.4859576 , 2.528277 , 8.389283
3.7541082 , 0.9576807 , 8.197746
1.685518 , 3.4476504 , 6.895301
2.834735 , 4.3287168 , 8.274361
3.6008794 , 4.903325 , 8.121132
2.873042 , 5.133168 , 6.703765
2.7581203 , 5.094861 , 5.439626
3.715801 , 4.7500963 , 5.93762
4.2521024 , 4.711789 , 6.6654577
3.9073372 , 8.121132 , 7.0485296
2.3750482 , 5.9759274 , 7.2783732
2.4516625 , 5.209783 , 7.3166804
2.528277 , 5.5162406 , 7.5848308
3.064578 , 5.133168 , 7.8529816
3.4476504 , 5.707777 , 7.393295
3.3327289 , 3.5625722 , 7.240066
2.873042 , 4.3287168 , 7.0485296
3.7924154 , 6.090849 , 6.8186865
4.4819455 , 6.8186865 , 7.086837
4.060566 , 6.7803793 , 6.244078
3.9839516 , 6.703765 , 5.861006
3.1411927 , 5.5162406 , 5.554548
3.064578 , 5.554548 , 5.93762
3.1411927 , 5.592855 , 5.93762
4.4819455 , 6.167464 , 5.746084
3.9073372 , 5.4779334 , 6.435614
4.098873 , 5.66947 , 7.201759
4.7884035 , 6.4739213 , 6.9719152
4.0222588 , 6.8186865 , 5.707777
3.9839516 , 6.5505357 , 5.363012
3.9456444 , 6.244078 , 5.707777
4.098873 , 6.5122285 , 5.707777
3.9456444 , 6.742072 , 5.056554
4.098873 , 6.6654577 , 4.7500963
4.2904096 , 7.1634517 , 5.363012
3.5242648 , 6.933608 , 4.903325
3.9839516 , 6.8186865 , 5.363012
5.707777 , 7.967903 , 6.895301
4.405331 , 7.8529816 , 6.0142345
3.4859576 , 6.895301 , 5.899313
3.6774938 , 6.933608 , 6.0525417
3.5242648 , 7.0102224 , 5.592855
1.8004397 , 6.0525417 , 3.4476504
3.3327289 , 5.9759274 , 5.094861
3.8307228 , 6.205771 , 4.9416323
4.596867 , 6.7803793 , 4.6351743
5.8226986 , 7.3549876 , 6.0525417
6.7803793 , 6.3206925 , 7.0485296
6.6654577 , 5.66947 , 6.895301
6.4739213 , 5.056554 , 7.0485296
5.056554 , 4.711789 , 5.2480903
5.209783 , 4.4436383 , 4.4436383
5.171476 , 3.6774938 , 3.6774938
4.903325 , 2.566584 , 3.4859576
7.469909 , 2.6048915 , 5.554548
8.274361 , 2.183512 , 6.742072
9.691729 , 2.3750482 , 7.3166804
9.11712 , 3.217807 , 7.086837
7.967903 , 3.371036 , 6.703765
8.42759 , 3.5242648 , 7.0485296
7.6614456 , 3.217807 , 7.3549876
5.899313 , 2.6048915 , 7.086837
5.171476 , 1.340753 , 7.393295
5.899313 , 1.3790601 , 7.6614456
6.244078 , 1.6089035 , 7.699753
5.3247046 , -0.22984336 , 8.925584
5.401319 , -1.685518 , 8.0445175
5.056554 , -1.8004397 , 7.240066
4.4436383 , -1.4173675 , 6.8569937
2.9113493 , 1.5705963 , 6.3589997
2.528277 , 1.3790601 , 7.393295
1.8004397 , 2.0685902 , 8.887277
2.9879637 , 2.4899697 , 7.8529816
2.336741 , 2.873042 , 6.2823853
-3.5242648 , 3.2561142 , 8.389283
-2.681506 , 0.34476504 , 12.603078
-3.3327289 , 0.6512229 , 13.828909
-0.5363012 , 3.8307228 , 8.42759
2.4516625 , 5.5162406 , 9.768343
3.715801 , 7.5465236 , 9.461885
1.2641385 , 7.3549876 , 8.389283
-1.2258313 , 8.542512 , 7.1634517
-1.2258313 , 6.895301 , 6.0525417
-1.9919758 , 4.1371803 , 6.7803793
-2.1452048 , -0.9576807 , 10.840945
-3.6008794 , -1.3024458 , 15.897499
-2.7964275 , -0.8810662 , 18.885464
-1.4556746 , -0.6895301 , 19.421764
-3.4476504 , -1.9536686 , 15.322891
-3.1794999 , -2.2601264 , 11.492168
-3.0262709 , -1.9153614 , 7.967903
-3.3327289 , -1.1875241 , 6.3589997
-3.217807 , -0.7278373 , 4.711789
