MagZ,MagY,MagX,Light,OrientZ,OrientX,OrientY,AccY,AccX,AccZ,GyroZ,GyroX,GyroY
NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.6,-14.46,16.92,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.78,-15.12,15.24,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.18,-15.54,14.5199995,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.3,-15.54,15.299999,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.36,-16.08,14.34,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.6,-16.14,14.099999,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-33.66,-17.1,13.08,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,NO-DATA,
-34.02,-16.38,13.44,NO-DATA,-1.31459927143,222.579391429,-6.21473697143,NO-DATA,NO-DATA,NO-DATA,0.0,0.0,0.0,
-34.02,-16.38,13.44,NO-DATA,-1.31459927143,222.579391429,-6.21473697143,1.1109096,0.7661445,10.228029,0.0,0.0,0.0,
-34.02,-16.38,13.44,NO-DATA,-0.87213645,222.875765,-6.1794355,1.1109096,0.7661445,10.228029,0.0,0.0,0.0,
-34.26,-16.98,12.24,NO-DATA,-0.87213645,222.875765,-6.1794355,1.1109096,0.7661445,10.228029,0.0,0.0,0.0,
-34.26,-16.98,12.24,NO-DATA,-0.06259571,222.89313,-6.185648,1.1109096,0.9959879,9.500193,0.0,0.0,0.0,
-34.26,-16.98,12.24,NO-DATA,0.47919288,222.82478,-6.2131352,1.1109096,0.9959879,9.500193,0.0,0.0,0.0,
-34.92,-17.76,11.099999,NO-DATA,0.92444,222.66096,-6.3161545,1.1109096,0.9959879,9.500193,0.0,0.0,0.0,
-35.04,-18.24,10.74,NO-DATA,0.92444,222.66096,-6.3161545,1.1109096,0.9959879,9.500193,0.0,0.0,0.0,
-35.04,-18.24,10.74,NO-DATA,1.1214621,222.45749,-6.670537,1.6089035,0.5363012,9.959879,-0.341473665,0.198531205,-0.30787608,
-35.04,-18.24,10.74,NO-DATA,1.4175481,222.60686,-7.0349355,1.6089035,0.5363012,9.959879,-0.440128415,0.2587014325,-0.1808161135,
-35.28,-18.539999,9.96,NO-DATA,1.4175481,222.60686,-7.0349355,1.6089035,0.5363012,9.959879,-0.4605924,0.2687807,-0.07086037,
-35.28,-18.539999,9.96,NO-DATA,1.6368992,222.86661,-7.4453716,1.4939818,0.61291564,9.730036,-0.39156462,0.243124365,0.0305432635,
-35.28,-18.539999,9.96,NO-DATA,1.6695315,223.0232,-7.768961,1.4939818,0.61291564,9.730036,-0.293520745,0.2266310075,0.1676825075,
-35.28,-18.539999,9.96,NO-DATA,1.4865688,223.0396,-8.207236,2.1068976,0.5363012,9.500193,-0.2779436875,0.2645046475,0.2611449,
-35.28,-18.539999,9.96,NO-DATA,1.1569092,223.0783,-8.760303,1.9536686,-0.076614454,8.619126,-0.3787364575,0.2538145025,0.112093773,
-35.28,-18.539999,9.96,NO-DATA,1.0226132,223.21902,-9.130147,1.9536686,-0.076614454,8.619126,-0.436972273333,0.187739256667,-0.216653543333,
-35.76,-18.96,9.599999,NO-DATA,1.0226132,223.21902,-9.130147,1.9536686,-0.076614454,8.619126,-0.45448375,0.14049901,-0.29810223,
-35.76,-18.96,9.599999,NO-DATA,1.1278642,223.54698,-9.456577,1.3024458,0.30645782,9.883265,-0.440433845,0.0623082535,-0.09529498,
-35.76,-18.96,9.599999,NO-DATA,1.0871419,223.83406,-9.46649,1.3024458,0.30645782,9.883265,-0.31001411,-0.11942415375,0.0326812905,
-36.12,-18.539999,9.84,NO-DATA,0.9905303,223.89668,-9.171502,1.3024458,0.30645782,9.883265,-0.09987646625,-0.2406809075,0.09621127875,
-36.36,-18.72,10.0199995,NO-DATA,0.80938876,223.73116,-8.930647,1.3024458,0.30645782,9.883265,-0.00794124835,-0.1178969925,0.16523905,
-36.239998,-18.84,10.139999,NO-DATA,0.6151107,223.55865,-8.896603,1.3024458,0.30645782,9.883265,-0.02168571575,0.01618792875,0.1102611785,
-36.239998,-18.84,10.139999,NO-DATA,0.4580997,223.38121,-8.999367,1.8004397,-0.076614454,9.270349,-0.04948008425,0.001832595,-0.07574728725,
-36.239998,-18.84,10.139999,NO-DATA,0.545401,223.31488,-9.053846,1.9919758,0.076614454,9.959879,-0.050090951,-0.122173046667,-0.18773925,
-36.239998,-18.84,10.139999,NO-DATA,0.78110904,223.30382,-8.917683,1.9153614,0.30645782,10.457873,-0.083688539,-0.2131919725,-0.1127046404,
-36.239998,-18.84,10.139999,NO-DATA,0.8083082,223.3022,-8.7284565,1.8004397,0.22984336,10.0748005,-0.08827002975,-0.10629055225,0.1499674185,
-36.239998,-18.84,10.139999,NO-DATA,0.6654679,223.26836,-8.7123575,1.8387469,0.19153613,9.193734,-0.02138028375,0.09376781575,0.05833763025,
-36.239998,-18.84,10.139999,NO-DATA,0.66703725,223.17955,-8.934359,2.1068976,0.30645782,9.768343,-0.02840523375,0.21288654,-0.15027285,
-36.239998,-18.84,10.139999,NO-DATA,0.89986575,223.19656,-9.270923,2.030283,0.4213795,10.113108,-0.13500122,0.11239920475,-0.1753183275,
-36.239998,-18.84,10.139999,NO-DATA,1.1190677,223.39378,-9.432613,1.8387469,0.38307226,9.883265,-0.186110276667,-0.0044796782,-0.0606792816667,
