status,time,min,max,avg,stdVar
Cinema , 1.4183878531e+12 , 36.8068281293 , 69.9148858126 , 48.8241459937 , 8.46627439773
Cinema , 1.41838786816e+12 , 37.8667851248 , 64.7526477651 , 52.7644418051 , 12.7581919278
Cinema , 1.41838788276e+12 , 32.6429566252 , 66.1426750749 , 55.2493869813 , 18.5730153856
Cinema , 1.41838789426e+12 , 32.6429566252 , 66.1426750749 , 56.2231021463 , 21.0393924495
Cinema , 1.41838790584e+12 , 52.5760090554 , 63.6225448218 , 57.6792105823 , 24.8273660406
Cinema , 1.41838791742e+12 , 50.033627052 , 63.7434198124 , 57.38405425 , 24.0520926553
Cinema , 1.41838792898e+12 , 48.1485030628 , 65.5932888696 , 56.8468917211 , 22.6501673873
Cinema , 1.41838794076e+12 , 45.10946164 , 65.5932888696 , 55.7714690741 , 19.8871482249
Cinema , 1.41838795234e+12 , 41.86888935 , 64.7879024085 , 55.1418750503 , 18.3051275986
Cinema , 1.41838796398e+12 , 41.86888935 , 66.6708994205 , 56.8409633368 , 22.634766263
Cinema , 1.4183879756e+12 , 47.9881629543 , 66.6708994205 , 57.8085308901 , 25.1680415583
Cinema , 1.41838798714e+12 , 50.5558223238 , 64.7432877679 , 57.409485035 , 24.1187606585
Cinema , 1.4183879989e+12 , 52.066478901 , 64.9793909258 , 58.9785623619 , 28.2737907541
Cinema , 1.41838801062e+12 , 53.7953468163 , 66.2216745317 , 60.5201127159 , 32.4151695246
Cinema , 1.4183880222e+12 , 47.8300704493 , 66.2216745317 , 59.6237302014 , 30.0012995674
Cinema , 1.41838803376e+12 , 47.8300704493 , 65.1293916968 , 59.215204864 , 28.9063524017
Cinema , 1.41838804531e+12 , 42.3387054477 , 65.1210352379 , 56.6498000553 , 22.139055498
Cinema , 1.41838805691e+12 , 42.3387054477 , 63.2732980694 , 55.8863945913 , 20.1791061205
Cinema , 1.41838806865e+12 , 32.8680018759 , 65.1319890423 , 57.1999092182 , 23.5701173172
Cinema , 1.41838808019e+12 , 23.309366666 , 65.1528817656 , 49.245195085 , 8.35676049779
Cinema , 1.41838809181e+12 , 22.2528908527 , 65.1528817656 , 42.86912271 , 19.8588207377
Cinema , 1.41838810343e+12 , 19.747131347 , 64.5448984409 , 47.4079571198 , 9.90967610274
Cinema , 1.41838811505e+12 , 19.747131347 , 64.5448984409 , 53.5412932853 , 14.4692837865
Cinema , 1.41838812667e+12 , 31.3626339612 , 64.5957302044 , 52.5337030139 , 12.2780336162
Cinema , 1.41838813829e+12 , 38.0561686054 , 64.5957302044 , 51.258162645 , 9.96521638082
Cinema , 1.41838814989e+12 , 39.0907000911 , 66.1165857794 , 55.0541082091 , 18.0871986409
Cinema , 1.41838816151e+12 , 49.0362262523 , 67.6493250776 , 58.3143271618 , 26.5057769554
Cinema , 1.41838817313e+12 , 49.8290318257 , 67.9899272419 , 60.1117318892 , 31.3136556736
Cinema , 1.41838818451e+12 , 41.6278276829 , 67.9899272419 , 59.1003357136 , 28.5991361136
Cinema , 1.41838819609e+12 , 41.6278276829 , 66.7717870126 , 57.9012736207 , 25.4127123918
Cinema , 1.41838820783e+12 , 48.8600517735 , 65.6909564814 , 57.9774478548 , 25.6138869062
Cinema , 1.41838821947e+12 , 33.6450702433 , 64.9617544532 , 55.3363581552 , 18.7904436151
Cinema , 1.41838823101e+12 , 33.6450702433 , 66.4747811826 , 55.166259816 , 18.3657986772
Cinema , 1.41838824297e+12 , 48.2517223346 , 66.9657421863 , 57.9967697439 , 25.6649457142
Cinema , 1.41838825471e+12 , 50.4046629277 , 68.3956144813 , 58.9005752582 , 28.0656175353
Cinema , 1.41838826633e+12 , 46.6122336565 , 68.3956144813 , 58.5350076657 , 27.0918539804
Cinema , 1.41838827793e+12 , 43.6095038186 , 66.368242346 , 58.1423951055 , 26.0501485653
Cinema , 1.41838828955e+12 , 43.6095038186 , 69.5729891703 , 59.7118345753 , 30.2378956455
Cinema , 1.41838830115e+12 , 38.6292040286 , 69.7814188831 , 60.4108178949 , 32.1200983824
Cinema , 1.41838831211e+12 , 38.6292040286 , 69.7814188831 , 59.3502620332 , 29.2679416868
Cinema , 1.41838832369e+12 , 52.0198660234 , 67.8092437131 , 59.0101738074 , 28.3582140719
Cinema , 1.41838833571e+12 , 51.3656099604 , 68.3783723731 , 58.7930072304 , 27.7787299868
Cinema , 1.41838834729e+12 , 47.861186409 , 68.3783723731 , 58.2056554073 , 26.2176879311
Cinema , 1.41838835885e+12 , 39.9109795654 , 63.3535152924 , 56.2458062624 , 21.0976497765
Cinema , 1.41838837107e+12 , 39.9109795654 , 63.3535152924 , 54.7114208481 , 17.2433369107
Cinema , 1.41838838265e+12 , 43.34736089 , 65.0662294752 , 52.7506718455 , 12.7291285503
Cinema , 1.41838839427e+12 , 40.4316065152 , 65.0662294752 , 51.3912450213 , 10.172764665
Cinema , 1.41838840587e+12 , 40.4316065152 , 64.8422435132 , 49.8500547879 , 8.48744364961
Cinema , 1.41838841751e+12 , 40.9648025606 , 64.3919241627 , 49.433582978 , 8.36110562157
Cinema , 1.41838842913e+12 , 41.0002303516 , 68.5671184307 , 51.913779873 , 11.0712407108
Cinema , 1.41838844073e+12 , 42.3253643333 , 68.5671184307 , 53.3713759793 , 14.0841874798
Cinema , 1.41838845221e+12 , 43.8838958778 , 67.8318427466 , 56.1553339148 , 20.8656839376
Cinema , 1.41838846379e+12 , 46.2097943937 , 67.4880888465 , 57.3592235098 , 23.9870221511
Cinema , 1.41838847533e+12 , 46.2097943937 , 67.8653023134 , 57.4228743516 , 24.1538714981
Cinema , 1.41838848805e+12 , 42.7234490116 , 67.8653023134 , 58.0036470166 , 25.6831220716
Cinema , 1.41838850067e+12 , 42.7234490116 , 65.267991978 , 57.7858696942 , 25.1083019343
Cinema , 1.41838851225e+12 , 46.5099743901 , 68.1827112262 , 58.1829644861 , 26.1575789654
Cinema , 1.41838852377e+12 , 46.1682004428 , 68.644947662 , 57.8785593217 , 25.3527615269
Cinema , 1.41838853537e+12 , 46.1682004428 , 68.644947662 , 56.930192477 , 22.8667441194
Cinema , 1.41838854703e+12 , 46.886667123 , 67.0183360463 , 57.2590845242 , 23.7248509666
Cinema , 1.41838855871e+12 , 48.1971514172 , 66.2680207591 , 58.1343539797 , 26.0288611416
Cinema , 1.41838857029e+12 , 42.8318988406 , 65.1867644346 , 57.0201663558 , 23.1010258154
Cinema , 1.41838858181e+12 , 42.8318988406 , 68.2458282751 , 55.327950754 , 18.7693975909
Cinema , 1.41838859345e+12 , 40.2084744848 , 68.2458282751 , 55.0980524627 , 18.1962270184
Cinema , 1.41838860501e+12 , 39.9210941471 , 68.5267200126 , 55.7403254824 , 19.8081867762
Cinema , 1.41838861653e+12 , 39.9210941471 , 68.5267200126 , 57.9831042452 , 25.6288328766
Cinema , 1.41838862809e+12 , 52.3498648354 , 67.6086874217 , 58.98338465 , 28.2866678771
Cinema , 1.41838863971e+12 , 45.7242253322 , 67.6086874217 , 56.6899366741 , 22.2429865912
Cinema , 1.41838865127e+12 , 45.7242253322 , 69.5257504017 , 55.8289982373 , 20.0331838846
Cinema , 1.41838866303e+12 , 48.5932437559 , 69.5257504017 , 58.0651559808 , 25.84575513
Cinema , 1.41838867463e+12 , 47.3695280353 , 65.8763085346 , 59.4233453865 , 29.463774523
Cinema , 1.41838868617e+12 , 47.3695280353 , 65.1717529756 , 58.7119105745 , 27.5626366064
Cinema , 1.41838869773e+12 , 36.1264646288 , 65.1717529756 , 56.1667208886 , 20.894852783
Cinema , 1.41838870927e+12 , 36.1264646288 , 64.9179869287 , 51.4918012401 , 10.3357035943
Cinema , 1.41838872086e+12 , 38.8100998041 , 64.9952898807 , 53.4055519761 , 14.1612047805
Cinema , 1.41838873244e+12 , 49.5565124571 , 67.441095482 , 58.3100141302 , 26.4943364352
Cinema , 1.41838874404e+12 , 49.8548339922 , 67.441095482 , 58.0627140864 , 25.8392963352
Cinema , 1.41838875550e+12 , 45.6380343273 , 65.6246003101 , 56.4586072398 , 21.6451058403
Cinema , 1.41838876708e+12 , 45.6380343273 , 65.6246003101 , 56.807099763 , 22.5468251551
Cinema , 1.41838877860e+12 , 51.3616114202 , 64.4136562078 , 58.6869250581 , 27.4960935302
Cinema , 1.41838879028e+12 , 50.2813777126 , 64.1551099015 , 58.3897018969 , 26.7057993251
Cinema , 1.41838880184e+12 , 44.1962555455 , 64.6210677732 , 55.8845145999 , 20.1743230148
Cinema , 1.41838881348e+12 , 38.9800637496 , 64.6210677732 , 51.7343084378 , 10.74874856
Cinema , 1.41838882506e+12 , 21.8884063214 , 64.0378166098 , 44.9499355786 , 14.7863348464
Cinema , 1.41838883666e+12 , 21.8884063214 , 64.0378166098 , 48.0950809845 , 9.02323479638
Cinema , 1.4183888481e+12 , 47.7939554638 , 63.7332412762 , 55.2871111469 , 18.667248177
Cinema , 1.41838885964e+12 , 46.5335552089 , 63.7332412762 , 53.8443826093 , 15.1688489481
Cinema , 1.4183888712e+12 , 46.5335552089 , 65.3661347303 , 55.3950044099 , 18.9374117582
Cinema , 1.41838888284e+12 , 48.8399917709 , 65.3661347303 , 57.5903819015 , 24.5937036198
Cinema , 1.41838889438e+12 , 35.8326831009 , 63.1389611281 , 53.3399725267 , 14.0136191395
Cinema , 1.41838890596e+12 , 35.8326831009 , 81.813656531 , 49.2582516605 , 8.35599162092
Cinema , 1.41838891896e+12 , 37.8433835919 , 81.813656531 , 50.1283691679 , 8.65851468049
Lobby , 1.41838909430e+12 , 44.4909011837 , 67.9118609412 , 51.1975630663 , 9.87390674835
Lobby , 1.41838910996e+12 , 43.7307579576 , 68.5710674837 , 50.9658426063 , 9.54444377986
Lobby , 1.41838912410e+12 , 43.1753066166 , 68.5710674837 , 51.1557595082 , 9.81212742981
Lobby , 1.41838913524e+12 , 43.1753066166 , 68.136335218 , 51.1046422904 , 9.73795672035
Lobby , 1.41838914698e+12 , 43.347234521 , 68.136335218 , 50.9736243817 , 9.5549799397
Lobby , 1.41838915866e+12 , 42.3171930884 , 64.0881647396 , 49.9144608118 , 8.5210238271
Lobby , 1.41838917062e+12 , 42.3171930884 , 67.3441993668 , 49.256003125 , 8.35611267731
Lobby , 1.41838918218e+12 , 42.6191902018 , 67.3441993668 , 51.0398347441 , 9.64614416619
Lobby , 1.41838919362e+12 , 42.6995853868 , 65.1817356292 , 51.2289247792 , 9.92090552339
Lobby , 1.41838920516e+12 , 42.6995853868 , 65.4890278626 , 50.1321081685 , 8.66126556185
Lobby , 1.4183892168e+12 , 41.2987221109 , 74.5258060304 , 51.52530096 , 10.3911066469
Lobby , 1.41838922836e+12 , 41.2987221109 , 74.5258060304 , 53.4978086074 , 14.3702193036
Lobby , 1.41838923982e+12 , 42.4427286754 , 68.6292309296 , 51.9693965008 , 11.1738602504
Lobby , 1.41838925142e+12 , 42.4427286754 , 67.3508185289 , 50.2718516696 , 8.77239225268
Lobby , 1.41838926302e+12 , 43.3539779552 , 62.2199722275 , 49.3147110304 , 8.35450132394
