status,min,max,avg,stdVar
LobbyRMS , 30.3307961421 , 71.5374931581 , 47.2940870913 , 20.0982541505
LobbyRMS , 29.6161572651 , 72.1155367025 , 46.5066329671 , 20.7459230544
LobbyRMS , 29.6161572651 , 72.1155367025 , 44.7810897943 , 22.8525260105
LobbyRMS , 28.9956617221 , 62.6167082934 , 42.8583991831 , 26.0648466086
LobbyRMS , 28.9956617221 , 62.6167082934 , 41.5603401551 , 28.6029075232
LobbyRMS , 32.1742327858 , 60.9897128723 , 41.7784010848 , 28.1598616115
LobbyRMS , 32.4903967329 , 60.9897128723 , 41.7052817564 , 28.3077323127
LobbyRMS , 32.4903967329 , 64.2275443095 , 42.5866296601 , 26.5753038204
LobbyRMS , 32.5240451627 , 64.2275443095 , 43.3878083592 , 25.1066899167
LobbyRMS , 29.7262042318 , 58.017979198 , 42.4104612496 , 26.912478449
LobbyRMS , 29.7262042318 , 54.0825062771 , 40.7836219265 , 30.2281333309
LobbyRMS , 31.6621265313 , 76.9536029205 , 43.9109411151 , 24.2115369363
LobbyRMS , 31.8144272527 , 76.9536029205 , 46.4478332157 , 20.8028212331
LobbyRMS , 30.7512905988 , 65.4743446403 , 45.0224660486 , 22.5075889741
LobbyRMS , 30.7512905988 , 64.2895180116 , 45.1541175994 , 22.3258006107
LobbyRMS , 33.3587848244 , 63.1926680704 , 46.7890649422 , 20.4888031607
LobbyRMS , 34.1846572643 , 67.3600456957 , 50.1439023386 , 19.7277668799
LobbyRMS , 31.1272541276 , 69.4838946971 , 50.0195462923 , 19.6769096853
LobbyRMS , 30.257729415 , 69.4838946971 , 47.2834417942 , 20.1055422835
LobbyRMS , 30.257729415 , 70.2209342554 , 48.34843949 , 19.5880425299
LobbyRMS , 31.2586486536 , 70.2209342554 , 48.7602304289 , 19.5064062962
LobbyRMS , 30.8073355941 , 70.0904307773 , 47.8306157057 , 19.7854866022
LobbyRMS , 30.8073355941 , 70.0904307773 , 48.6076845488 , 19.5287790535
LobbyRMS , 31.4368554429 , 67.7444796183 , 48.4281845246 , 19.5669744981
LobbyRMS , 32.895811146 , 71.6105804559 , 48.9548894465 , 19.4913694826
LobbyRMS , 34.3030501284 , 71.6105804559 , 48.9041934637 , 19.4938242921
LobbyRMS , 30.1648653844 , 62.1165693482 , 47.3205876058 , 20.080291001
LobbyRMS , 30.1648653844 , 61.2050852635 , 47.2850264826 , 20.1044547295
LobbyRMS , 33.8837391048 , 65.8488298798 , 48.6064567691 , 19.5289967832
LobbyRMS , 33.0286254491 , 82.0377858412 , 49.0503573063 , 19.4895428449
