"mean","median","stdDev","status"
41.5485,40.4709,6.0992,"Lobby"
40.643,40.327,3.9326,"Lobby"
38.7922,38.7144,3.3585,"Lobby"
38.6954,38.4824,3.9871,"Lobby"
38.3216,38.3564,3.6859,"Lobby"
38.9095,38.928,3.8021,"Lobby"
38.2846,38.1511,3.9751,"Lobby"
39.3884,39.5219,4.214,"Lobby"
38.7448,38.6313,4.2946,"Lobby"
40.1437,40.0263,4.411,"Lobby"
35.9934,35.9428,3.576,"Lobby"
35.6761,34.9701,5.0793,"Lobby"
36.0873,36.2006,3.7178,"Lobby"
35.812,35.0811,4.497,"Lobby"
39.2042,39.5802,3.9164,"Lobby"
38.4845,38.5154,3.3488,"Lobby"
38.1568,37.9727,3.8759,"Lobby"
36.1258,35.6596,3.5692,"Lobby"
39.4702,38.8537,5.5322,"Lobby"
39.3308,39.0114,4.5776,"Lobby"
38.8013,39.3805,4.1605,"Lobby"
40.624,40.9284,3.9799,"Lobby"
39.1566,39.067,3.3953,"Lobby"
36.9042,36.4186,4.9914,"Lobby"
36.1145,36.0809,3.9241,"Lobby"
39.4971,38.4894,6.7186,"Lobby"
38.6765,37.8225,4.8874,"Lobby"
39.8143,39.174,4.1093,"Lobby"
38.3841,38.1788,4.2065,"Lobby"
38.0621,38.1194,4.9615,"Lobby"
37.2676,37.2232,4.6081,"Lobby"
39.2415,39.3165,3.3664,"Lobby"
37.6148,37.8297,3.551,"Lobby"
38.7627,38.4399,3.7017,"Lobby"
37.9696,37.4907,3.9344,"Lobby"
37.374,37.1818,3.0746,"Lobby"
36.9641,36.6437,3.2135,"Lobby"
36.0591,35.9619,3.0207,"Lobby"
38.3865,38.3542,4.9237,"Lobby"
37.9363,37.4506,4.2363,"Lobby"
37.1512,36.9314,4.2978,"Lobby"
37.0829,36.969,3.4645,"Lobby"
34.684,34.2056,3.6472,"Lobby"
33.9084,33.7698,2.3395,"Lobby"
39.6006,39.8068,3.7449,"Lobby"
38.9719,38.7683,2.989,"Lobby"
39.1669,39.0086,2.8664,"Lobby"
40.5577,40.0678,4.1074,"Lobby"
41.2369,41.0364,2.6834,"Lobby"
41.1468,40.7541,4.0209,"Lobby"
47.5313,46.2854,5.714,"Cinema"
51.891,53.0824,5.3879,"Cinema"
54.1437,54.1353,5.3625,"Cinema"
56.5517,57.384,3.6132,"Cinema"
57.7062,57.6769,1.8005,"Cinema"
57.7804,57.6934,1.9003,"Cinema"
56.8536,56.9074,2.1366,"Cinema"
56.7819,57.1732,2.9197,"Cinema"
53.9294,54.6766,4.4827,"Cinema"
56.6629,57.7179,4.4813,"Cinema"
57.6307,57.5642,3.1147,"Cinema"
57.4683,57.4253,2.1117,"Cinema"
58.1212,58.0564,2.0765,"Cinema"
60.3153,60.2836,1.7531,"Cinema"
60.5536,60.8428,2.2575,"Cinema"
58.5757,58.8618,2.7878,"Cinema"
59.5911,59.5888,2.1318,"Cinema"
53.3169,53.372,3.7588,"Cinema"
58.7626,58.9581,2.0909,"Cinema"
53.7744,57.8792,9.5056,"Cinema"
42.8072,43.4872,13.3942,"Cinema"
44.6681,49.2742,11.0911,"Cinema"
52.215,57.3721,11.882,"Cinema"
53.6094,57.9136,8.5641,"Cinema"
49.9498,48.999,5.7089,"Cinema"
54.0426,54.6536,4.667,"Cinema"
57.2405,57.6514,3.2313,"Cinema"
59.671,59.756,3.0599,"Cinema"
